description,technicalName
Dt - (SH) FD R3 Third Rebooking Plan,ZTKNUM__ZR3TS_PD
Dt - (SH) FD Date Changes Actual,ZTKNUM__ZCHANG_AD
STAS - Reason for Deviation (Date Changes),ZTKNUM__ZVSTGA_DC
Dt - (SH) FD RM Manual Rebooking Actual,ZTKNUM__ZRMTS_AD
Dt - (SH) FD RM Manual Rebooking Plan,ZTKNUM__ZRMTS_PD
Dt - (SH) FD LastBookArr Actual,ZTKNUM__ZLBAD_AD
Dt - (SH) FD LastBookArr Plan,ZTKNUM__ZLBAD_PD
Dt - (SH) FD 1st Transshipment Port Arrival Actual,ZTKNUM__ZFTPA_AD
Dt - (SH) FD 1st Transshipment Port Arrival Plan,ZTKNUM__ZFTPA_PD
Dt - (SH) FD 1st Transshipment Port Departure Actual,ZTKNUM__ZFTPD_AD
Dt - (SH) FD 1st Transshipment Port Departure Plan,ZTKNUM__ZFTPD_PD
Dt - (SH) FD 2nd Transshipment Port Arrival Actual,ZTKNUM__ZSTPA_AD
Dt - (SH) FD 2nd Transshipment Port Arrival Plan,ZTKNUM__ZSTPA_PD
Dt - (SH) FD 2nd Transshipment Port Departure Actual,ZTKNUM__ZSTPD_AD
Dt - (SH) FD 2nd Transshipment Port Departure Plan,ZTKNUM__ZSTPD_PD
Dt - (SH) FD B/L Received Date Actual,ZTKNUM__ZBLRD_AD
Dt - (SH) FD B/L Received Date Plan,ZTKNUM__ZBLRD_PD
QAC (Do Not Use),ZSPC_QAC
Dt - (SH) Carrier Arrival for Pickup Actual,ZTKNUM_M__ZCAFP_AD
Tm - (SH) Carrier Arrival for Pickup Actual,ZTKNUM_M__ZCAFP_AT
Dt - (SH) Carrier Arrival for Pickup Plan,ZTKNUM_M__ZCAFP_PD
Tm - (SH) Carrier Arrival for Pickup Plan,ZTKNUM_M__ZCAFP_PT
YG Partner,ZITM_OI__ZYGPARTRN
YG Partner (Dont Use),ZITM_OI__ZYGPARTNR
FLAG - Shipping Type is diff on DN/SH,ZSHTP_DIF
FLAG TV - Load Cons Relevant,ZTKNUM__ZFTV_LCR
FLAG TV - OTD Relevant,ZTKNUM__ZFTV_OTD
FLAG TV - RTV Relevant,ZTKNUM__ZFTV_RTV
TV Load Cons Reason,ZTKNUM__ZRTV_LC
TV OTD Reason,ZTKNUM__ZRTV_OTD
TV RTV Reason,ZTKNUM__ZRTV_RTV
FLAG - Deli./Load date is diff,ZDDAT_DIF
Shipment Text 502 Internal Note,ZTKNUM_M__ZSHIP502
FLAG - Back Up Lane,ZITM_OI__ZF_BULANE
Dt - (SH) FD Document Packet Sent Actual,ZTKNUM_M__ZDOCPS_AD
Dt - (SH) FD Confirmed on Board Actual,ZTKNUM_M__ZOCBOL_AD
Dt - (SH) FD Flight Departure Date Actual,ZTKNUM_M__ZFLID_AD
